id,dataset,order,gender,Games_DFS,Games_SOARS_Involuntariness,Games_SOARS_Effortlessness,Games_ITC_SpatialPresence,Games_ITC_Engagement,Games_ITC_EcologicalValidity,Games_ITC_NegativeEffects,Games_Presence,Games_CharIdentification,Games_TIME,Movies_DFS,Movies_SOARS_Involuntariness,Movies_SOARS_Effortlessness,Movies_ITC_SpatialPresence,Movies_ITC_Engagement,Movies_ITC_EcologicalValidity,Movies_ITC_NegativeEffects,Movies_Presence,Movies_CharIdentification,Movies_TIME
R_2akkO6Q5nSx7Jzb,O,1,2,3.7777777777777777,17,25,2.3684210526315788,3.6923076923076925,3,2.1666666666666665,3,2.6,5,NA,NA,NA,3.578947368421052,4.230769230769231,4,2.333333333333333,NA,2.2,2
R_3e35kPpxsq9IcXf,O,1,2,3.6666666666666665,15,21,2.3157894736842106,3.6153846153846154,2,3.333333333333333,5.333333333333333,6.2,5,3.5555555555555554,22,22,2.631578947368421,4.769230769230769,2.8000000000000003,3.5,5.333333333333333,3,5
R_1plgDgkDeRJrDdF,O,1,2,3,20,20,3,3,3,3,4,4,4,3,20,20,3,3,3,3,4,3,4
R_1NwdEjyj0TtP0sU,O,2,2,4.222222222222222,11,23,2.631578947368421,3.307692307692308,1.4000000000000001,1.5,4,1.4,4,3.111111111111111,15,26,1.6842105263157894,4.230769230769231,2,1.5,2,2.6,4
R_3GyaoKtT2xBcVYM,O,2,2,3.5555555555555554,18,29,3.7368421052631575,4.538461538461538,3.2,2.333333333333333,6.666666666666667,4,4,2.3333333333333335,21,27,1.1052631578947367,2.8461538461538463,2.2,1.1666666666666665,2,2,2
R_uy5Pc9GXtMU8uk1,O,2,2,3.5555555555555554,9,27,1.5789473684210527,3.4615384615384617,1.6,1.6666666666666665,3.3333333333333335,2.4,3,3.7777777777777777,19,23,1.6842105263157894,3.8461538461538463,3,1.5,5.333333333333333,2.2,3
R_3EaIU7ROJHjlArI,O,1,2,3.7777777777777777,19,23,2.3684210526315788,3.230769230769231,2.4000000000000004,2.333333333333333,4,2.4,4,3.7777777777777777,22,22,2.1052631578947367,3.6923076923076925,2.4000000000000004,2.1666666666666665,3.6666666666666665,2.2,4
R_8v0VaUBg0GhSCeR,O,1,2,3.111111111111111,12,22,2.1578947368421053,2.4615384615384617,2.2,2,1,2.8,3,3.111111111111111,13,26,2,3.384615384615385,2.8000000000000003,2.1666666666666665,2,2,4
R_3rHYlYkotjZTtn7,O,1,2,3.5555555555555554,31,10,2.8421052631578947,4.230769230769231,3.2,2,3.3333333333333335,3.6,3,3.3333333333333335,22,24,3.526315789473684,4.923076923076923,3.8000000000000003,1.6666666666666665,6.666666666666667,1,5
R_ZyidJLfdXtvkTap,O,2,1,3.3333333333333335,17,24,5,4.6923076923076925,5,1.1666666666666665,7,1,2,3.888888888888889,19,25,2.263157894736842,3.8461538461538463,3.4000000000000004,1.6666666666666665,2.3333333333333335,5.2,1
R_2PAOvD00bhZXsdO,N,2,2,4.666666666666667,13,29,3.6842105263157894,4.6923076923076925,3.8000000000000003,2.5,6,5.6,4,3.4444444444444446,12,28,2.2105263157894735,4.307692307692308,2.8000000000000003,2,2,2.8,3
R_s5UAwEy7aRmZTYB,N,2,1,3.7777777777777777,21,15,3.4736842105263155,3.6153846153846154,3.8000000000000003,3.333333333333333,6.666666666666667,6.6,3,3.5555555555555554,15,24,3.4210526315789473,3.153846153846154,2,2.6666666666666665,6.333333333333333,6.6,5
R_sZPQ9nXizTh1tx7,N,1,1,4.333333333333333,12,33,1.6842105263157894,3.5384615384615388,2,1.5,2,1.8,5,4.555555555555555,14,34,1,3.153846153846154,1.6,1.1666666666666665,1.3333333333333333,1.4,4
R_3I0rpfRyy54XK0T,N,1,1,2.7777777777777777,20,20,3.263157894736842,3.076923076923077,2.6,3.333333333333333,3.6666666666666665,3.8,2,2.7777777777777777,22,20,3.4210526315789473,2.8461538461538463,2.2,3.5,3.6666666666666665,4,4
R_UiNUvfnWlvTNLCF,N,2,1,4,17,24,3.9473684210526314,4.6923076923076925,4.2,3,7,5.4,5,3.888888888888889,16,20,3.7368421052631575,4.846153846153847,3.6,3.1666666666666665,7,2.2,5
R_3MFsCCHFqOoZTkH,N,2,1,3.6666666666666665,11,29,3.631578947368421,4,4.2,2.5,3.6666666666666665,2.8,5,3.5555555555555554,11,29,3.3684210526315788,4,3.4000000000000004,2.1666666666666665,3,3,4
R_4ZmRwbhng55ilmp,N,1,1,3.888888888888889,15,21,2.4210526315789473,3.8461538461538463,2.2,2.1666666666666665,2.6666666666666665,5.4,5,3.7777777777777777,20,28,3.631578947368421,4.538461538461538,3.8000000000000003,2.333333333333333,4.666666666666667,5.4,4
R_3QFCxZbZhzUdfEd,N,1,1,4.555555555555555,9,30,3.894736842105263,3.6153846153846154,3.8000000000000003,1.3333333333333333,4.666666666666667,4.8,4,3.7777777777777777,14,29,3.4210526315789473,3.9230769230769234,3.6,1,5.333333333333333,4.6,4
R_2bK0bB6A61Wv3a9,N,2,1,4.333333333333333,15,30,2.789473684210526,3.9230769230769234,2.2,1.1666666666666665,2.6666666666666665,1.8,5,4,5,35,1,3.153846153846154,1.8,1.3333333333333333,2.3333333333333335,2.2,4
R_3kEZ4T68wKvz0QI,N,1,1,3.6666666666666665,11,27,2.789473684210526,3,2.6,2.1666666666666665,3,2.8,4,3.4444444444444446,14,27,2.3157894736842106,3,3,2,2,2.8,3
R_2PnCDx0n1J77HwN,N,1,1,4.111111111111111,20,19,4.105263157894736,4,4,3.1666666666666665,6.333333333333333,6.2,3,4.111111111111111,19,18,3.526315789473684,3.5384615384615388,4.4,4,6,6.2,2
R_3oNPKycklIVPWOo,N,2,1,2.5555555555555554,5,18,2.1578947368421053,2.769230769230769,2,2,1,2,3,2.6666666666666665,29,20,1.1578947368421053,3.076923076923077,1.2000000000000002,2.1666666666666665,1,2.8,4
R_2qw837xu20ubG9U,N,1,1,3.3333333333333335,21,24,3.263157894736842,2.9230769230769234,2.2,3.5,3,3.2,4,2.7777777777777777,24,22,2.894736842105263,2.8461538461538463,3.4000000000000004,2.6666666666666665,3.6666666666666665,2.6,4
R_2zoQ3Ik69f715hs,N,1,1,4.444444444444445,5,28,1,2.4615384615384617,1.4000000000000001,1,1,1.6,4,4.666666666666667,5,35,1.4210526315789473,3.153846153846154,1.8,1,1.6666666666666667,3.2,4
