ResponseId,Game,u_GameGenre,GameGenre,Movie,u_MovieGenre,MovieGenre
R_5C2fNwKasyBviBb,Majora's Mask 3D,Adventure,Action,Lord of the Rings,Fantasy,fantasy
R_2wzv9ayjl1Omc4o,Zelda,Action-adventure,Action,Breaking Bad,Drama,drama
R_7OjllrjHeyypkFb,Marvel Spider Man,Sandbox Action RPG,Action,Gotham,Fictitious Crime Drama,action/sh
R_3dFkW5Yf8c2OLDd,Fortnite,Fortnite is a battle royale,FPS,Big brother,Reality,reality
R_1rj1sjQrljgoAcm,Kerbal Space Program,science/exploration,Strategy,The Hateful Eight,drama/western,drama
R_TnZGRgkGkIcKcTf,NHL 20.,"Sports game, hockey.",Sports,I just finished the new season of the Peaky Blinders.  Its a show on Netflix.,It's a crime drama.,drama
R_2PdG9BUbu51WAM4,Real Racing 3.,Racing game.,Sports,"Friends. I know it's an older show, but I watch it every night around this time, and it gives me peace of mind. (also good to have in the background when you are doing other stuff)",Comedy,comedy
R_2RUrwdmAkxWkoXg,Overwatch,First person shooter,FPS,John Wick movies.,Action/Thriller I think,action
R_pH0MYqmNqyhkTKN,Rainbow six siege,FPS and shooter,FPS,"I really enjoyed watching midsommar, I have watched it twice now and I love the filming techniques.",Horror/thriller/drama,horror
R_1hyZAD6pav1Yd6C,Candy Crush,"Fantasy, fun",Puzzle,Family Guy,"Comedy, satire, cartoon",comedy
R_3NLrATqQg3uxJju,Raymn legends origin,Adventure,Platform,America horror stoey,Horror,horror
R_3PSslFWZPtdWs7y,Fortnite,3rd person Shooter,FPS,Grimm tv series from the 2010s,Scifi action.,fantasy/horror
R_vAc3MD7QKVEumxr,Legends of Legia,RPG Fantasy,RPG,Blue Planet II,Documentary,documentary
R_3imT5ZWOQGZ4Q9j,Grim Dawn,RPG hack and slash,RPG,Curfew,Post-apocalyptic zombies,horror
R_1RAHseYL9KxUtj3,This War of Mine,RPG,Action,Survivor,Reality TV/Game Show,reality
R_25IiZbqOR6BFSJr,Overwatch,FPS moba,FPS,Austin Powers: International Man of Mystery.,Comedy-Action,comedy
R_wT9XIDlTDtOkZSV,Fallout New Vegas,It is an RPG game.,RPG,The Dark Crystal,Fantasy,fantasy
R_vUApPaPxZqMMQzn,Rocket league.,Esports,Sports,Game of thrones. I enjoy watching it because the visual effects are stunning and the music and sound effects help make you feel immersed into this world of fantasy.,Drama,fantasy
R_1Fqu83ctzYbUMNa,GTA,RPG,Action,Suits,Drama,drama
R_3NxM5JJvNGyNPhk,Overwatch,First Person Shooter / MOBA hybrid,FPS,"I'm about 10 years late but I am now binging through Breaking Bad. Its a great show! I'm only in season 3 but theres a ways to go, I definitely get into the show when I watch it.",Its a dramatic TV series.,drama
R_3shW3GA8qVcy4Es,League of Legends,MOBA / Multiplayer Online Battle Arena,MOBA,Supernatural is a show I have watched recently.,It is sci-fi/horror with some drama and action.,fantasy/horror
R_2dYIKxy4F9dhlFG,Heat Signature,Action/Strategy,Action,The Librarians,Modern Fantasy,fantasy/horror
R_w0sMaAAfeas11bX,Call of Duty,Action,FPS,Batwoman,Fantasy,action/sh
